"MISSION","SETNO","STATION","DATETIME_START","DATETIME_FINISH","LATITUDE_START","LONGITUDE_START","LATITUDE_FINISH","LONGITUDE_FINISH","DEPTH_START","DEPTH_FINISH","SPEED","DEPTH_TRWL_AVE","TEMP_TRWL_AVE"
"BOF2015001",9,"C",18-AUG-15,18-AUG-15,45.0444,-67.081,45.0362,-67.054,26.517599999999998,24.6888,2.5,25.62,12.25
"BOF2015001",10,"C",18-AUG-15,18-AUG-15,45.0242,-67.0432,45.0162,-67.0357,25.6032,35.11296,2.3,28.88,12.31
"BOF2015001",11,"B",18-AUG-15,18-AUG-15,45.075,-66.9769,45.0924,-66.9785,42.42816,34.19856,2.7,38.1,12.19
"BOF2015001",12,"B",18-AUG-15,18-AUG-15,45.0858,-66.9464,45.0725,-66.9401,57.424319999999994,76.99248,2.4,69.8,12.18
"BOF2015001",13,"A",02-SEP-15,02-SEP-15,45.1012,-67.1033,45.0907,-67.0999,25,24,2.4,23.56,14.23
"BOF2015001",14,"D",17-SEP-15,17-SEP-15,45.016,-66.7934,45.018,-66.7713,38,41,2.7,40.15,12.43
"BOF2015001",15,"D",17-SEP-15,17-SEP-15,45.0027,-66.7057,44.9996,-66.7235,66,60,2.5,63.95,10.82
"BOF2015001",16,"D",17-SEP-15,17-SEP-15,44.9347,-66.8534,44.9521,-66.845,95,93,2.5,94.54,10.9
"BOF2015001",17,"A",18-SEP-15,18-SEP-15,45.107,-67.1076,45.099,-67.102,26,24,2.4,26.24,13.47
"BOF2015001",18,"C",18-SEP-15,18-SEP-15,45.0218,-67.0567,45.0079,-67.0487,29,41,2.5,34.83,13.09
"BOF2015001",19,"B",18-SEP-15,18-SEP-15,45.0986,-67.0079,45.0999,-66.9884,33,34,2.5,33.98,13.18
"BOF2015001",20,"D",27-OCT-15,27-OCT-15,44.9563,-66.8871,44.922,-66.8803,100,105,2.9,94.36,11
"BOF2015001",21,"D",27-OCT-15,27-OCT-15,44.9282,-66.8658,44.9421,-66.8585,87,97,2.8,91.28,11.04
"BOF2015001",22,"B",27-OCT-15,27-OCT-15,45.0783,-66.9359,45.0832,-66.9555,68,55,2.8,70.21,10.96
"BOF2016001",1,"C",07-JUL-16,07-JUL-16,45.0098,-67.0132,45.0153,-67.0264,38,31,2.7,33.8,10.88
"BOF2016001",2,"D",08-JUL-16,08-JUL-16,45.0037,-66.7824,44.9974,-66.8009,49,52,2.7,50.4,9.79
"BOF2016001",3,"D",08-JUL-16,08-JUL-16,44.9282,-66.8409,44.9162,-66.8397,94,91,2.5,95.24,8.96
"BOF2016001",4,"B",08-JUL-16,08-JUL-16,45.0931,-66.943,45.0798,-66.9484,39,66,2.7,56.98,10.68
"BOF2016001",5,"A",15-AUG-16,15-AUG-16,45.049,-67.071,45.0564,-67.0758,31,30,2.3,29.87,13.32
